value,time
39.6505376344086,1.0
40.0799603174603,2.0
37.5392473118279,3.0
33.5224074074074,4.0
27.4679211469534,5.0
26.2335185185185,6.0
26.3154121863799,7.0
28.6356630824373,8.0
28.9927777777778,9.0
28.3890681003584,10.0
28.9251851851852,11.0
36.0969534050179,12.0
38.2872759856631,1.0
38.3724206349206,2.0
34.7057347670251,3.0
30.1174074074074,4.0
27.0905017921147,5.0
25.0412962962963,6.0
25.1908602150538,7.0
25.9781362007168,8.0
27.592962962963,9.0
26.3808243727598,10.0
28.7081481481481,11.0
32.59229390681,12.0
34.9347670250896,1.0
34.0471264367816,2.0
31.610394265233,3.0
29.922962962963,4.0
27.4637992831542,5.0
27.2881481481481,6.0
25.7953405017921,7.0
27.1422939068101,8.0
26.3159259259259,9.0
31.6168458781363,10.0
31.0848148148148,11.0
33.4784946236559,12.0
35.4555555555555,1.0
37.5916666666667,2.0
35.7874551971326,3.0
32.2340740740741,4.0
28.5050179211469,5.0
27.3640740740741,6.0
26.8971326164875,7.0
27.6917562724014,8.0
27.9155555555556,9.0
29.6616487455196,10.0
31.1325925925926,11.0
33.8573476702509,12.0
35.1992831541219,1.0
34.0210317460317,2.0
35.8089605734767,3.0
32.0344444444444,4.0
29.073476702509,5.0
28.4774074074074,6.0
26.194623655914,7.0
29.7587813620072,8.0
27.9007407407408,9.0
32.8014336917563,10.0
33.4092592592593,11.0
34.5,12.0
34.9931899641577,1.0
37.7353174603174,2.0
33.8039426523297,3.0
31.482962962963,4.0
27.9476702508961,5.0
28.3188888888889,6.0
26.9121863799283,7.0
25.5534050179212,8.0
26.852962962963,9.0
28.536917562724,10.0
31.9233333333333,11.0
33.8763440860215,12.0
32.2745519713262,1.0
31.616091954023,2.0
31.3602150537635,3.0
31.2396296296296,4.0
27.6992831541219,5.0
26.3962962962963,6.0
25.2827956989248,7.0
26.4659498207885,8.0
29.8374074074074,9.0
29.1340501792114,10.0
30.8811111111111,11.0
31.5100358422939,12.0
34.9813620071685,1.0
32.0920634920634,2.0
32.9229390681004,3.0
32.1,4.0
29.2318996415771,5.0
27.6222222222222,6.0
25.6810035842294,7.0
28.7888888888889,8.0
26.8366666666667,9.0
32.4831541218638,10.0
29.7762962962964,11.0
30.5637992831541,12.0
35.3573476702509,1.0
36.7579365079364,2.0
33.9129032258064,3.0
29.6681481481481,4.0
26.1451612903226,5.0
26.3748148148148,6.0
27.1247311827956,7.0
28.0021505376344,8.0
28.3588888888889,9.0
29.2623655913979,10.0
30.9396296296297,11.0
33.2516129032258,12.0
34.884229390681,1.0
34.5869047619048,2.0
35.6053763440861,3.0
32.2814814814815,4.0
28.5168458781362,5.0
28.3574074074074,6.0
27.2858422939068,7.0
27.5955197132616,8.0
29.352962962963,9.0
31.1048387096774,10.0
31.2962962962963,11.0
34.0297491039427,12.0
33.3517921146953,1.0
35.2929118773947,2.0
34.0172043010752,3.0
31.9422222222222,4.0
27.7019713261648,5.0
26.6796296296297,6.0
26.2116487455197,7.0
26.8797491039427,8.0
26.3935185185185,9.0
30.0218637992832,10.0
28.0557407407408,11.0
30.5426523297491,12.0
35.2071684587813,1.0
37.7847222222222,2.0
34.6956989247311,3.0
29.4542592592593,4.0
28.6698924731183,5.0
25.5411111111111,6.0
25.6378136200717,7.0
26.7510752688172,8.0
29.9605555555555,9.0
28.4035842293907,10.0
37.5494444444444,11.0
34.9181003584229,12.0
